BookID,STATE,SUBSTATE
138223,Ohio,Ohio
123290,Tennessee,Tennessee
117580,Louisiana,Louisiana
144235,Arizona,Arizona
102943,Arkansas,Arkansas
154653,Maryland,Maryland
124457,Nevada,Nevada
107214,Kentucky,Kentucky
112648,North Carolina,North Carolina
147522,Illinois,Illinois
127681,California,Orange
103074,California,Orange
101919,California,San Diego
113055,Louisiana,Louisiana
126693,South Dakota,South Dakota
154756,Utah,Utah
144673,Pennsylvania,Pennsylvania
149283,Kansas,Kansas
164616,California,San Diego
161146,Nebraska,Nebraska
130098,Missouri,Missouri
117375,California,San Bernardino
119681,Nebraska,Nebraska
169750,California,Orange
168012,California,Riverside
145653,Texas,San Antonio
101931,South Carolina,South Carolina
119681,California,San Bernardino
130249,California,Los Angeles
132775,California,San Bernardino
117761,California,Orange
136994,Maryland,Maryland
159235,Iowa,Iowa
138211,California,San Diego
128857,South Dakota,South Dakota
103295,Colorado,Colorado
138153,Delaware,Delaware
103725,Colorado,Colorado
147734,Texas,Houston
129618,Kansas,Kansas
170523,New Mexico,New Mexico
150177,Texas,Houston
157398,Pennsylvania,Pennsylvania
129879,California,Los Angeles
142213,California,Orange
146810,Texas,San Antonio
105620,Virginia,Virginia
120829,Georgia,Georgia
128108,Connecticut,Connecticut
177550,Oklahoma,Oklahoma
101214,South Dakota,South Dakota
155716,Texas,Houston
143172,New Jersey,New Jersey
178085,Nebraska,Nebraska
147419,Oklahoma,Oklahoma
124508,Iowa,Iowa
111150,Florida,Orlando
108120,Illinois,Illinois
112873,California,Santa Clara
105592,Missouri,Missouri
121221,Maryland,Maryland
166048,Georgia,Georgia
106831,New York,New York
117466,Maryland,Maryland
158415,Tennessee,Tennessee
164229,Iowa,Iowa
144913,Colorado,Colorado
104188,Utah,Utah
133688,Nevada,Nevada
117280,California,Alameda
135128,California,Orange
112873,Minnesota,Minnesota
140617,California,San Diego
112160,Virginia,Virginia
169600,Florida,Orlando
108325,Massachusetts,Massachusetts
134830,New Hampshire,New Hampshire
139991,Arizona,Arizona
106893,Idaho,Idaho
116373,Kentucky,Kentucky
147915,California,Santa Clara
152109,California,Los Angeles
136450,Indiana,Indiana
156728,New York,New York
137602,Minnesota,Minnesota
159578,Texas,San Antonio
174974,Puerto Rico,Puerto Rico
169157,Virginia,Virginia
143172,Montana,Montana
170682,Georgia,Georgia
117851,New Mexico,New Mexico
176950,Montana,Montana
148761,Georgia,Georgia
176871,California,Los Angeles
155931,Montana,Montana
172363,Rhode Island,Rhode Island
149283,Illinois,Illinois
100395,Michigan,Michigan
101604,Massachusetts,Massachusetts
142023,Connecticut,Connecticut
162324,Oklahoma,Oklahoma
103669,Arkansas,Arkansas
149725,Kansas,Kansas
106819,Oregon,Oregon
172503,Florida,Miami
145060,California,San Bernardino
122114,Maine,Maine
154980,Wisconsin,Wisconsin
136711,Florida,Miami
137493,Massachusetts,Massachusetts
101675,Louisiana,Louisiana
120661,Tennessee,Tennessee
111335,West Virginia,West Virginia
103259,North Carolina,North Carolina
177802,Minnesota,Minnesota
143864,Mississippi,Mississippi
161706,Alabama,Alabama
146972,Illinois,Illinois
117186,Texas,Houston
124074,California,Alameda
102536,Oregon,Oregon
122717,Alabama,Alabama
142023,Nevada,Nevada
177754,Texas,San Antonio
102554,Louisiana,Louisiana
178284,Washington,Washington
160262,Nebraska,Nebraska
103402,Nebraska,Nebraska
118992,South Carolina,South Carolina
100671,Florida,Orlando
163365,North Carolina,North Carolina
154966,Florida,Miami
111290,Wisconsin,Wisconsin
135606,Georgia,Georgia
107517,Florida,Orlando
131674,Kansas,Kansas
120717,Puerto Rico,Puerto Rico
166463,West Virginia,West Virginia
101912,Oregon,Oregon
153945,Washington,Washington
172499,California,Riverside
125813,Idaho,Idaho
105481,Pennsylvania,Pennsylvania
123484,California,San Bernardino
119294,California,San Bernardino
122544,Nevada,Nevada
140138,Hawaii,Hawaii
119383,Massachusetts,Massachusetts
162175,Kansas,Kansas
159612,Ohio,Ohio
173023,Delaware,Delaware
142090,Pennsylvania,Pennsylvania
149725,Arizona,Arizona
154949,Hawaii,Hawaii
120630,Utah,Utah
103058,Mississippi,Mississippi
122269,California,San Bernardino
144177,New York,New York
142811,Washington,Washington
141738,North Carolina,North Carolina
163763,New York,New York
154413,Oregon,Oregon
148202,Florida,Orlando
112938,Iowa,Iowa
161168,Idaho,Idaho
107611,Texas,San Antonio
129928,Nebraska,Nebraska
178581,Florida,Miami
143914,California,San Diego
106006,Montana,Montana
114530,Kentucky,Kentucky
107923,Maine,Maine
118065,California,Santa Clara
144235,West Virginia,West Virginia
166594,California,San Diego
122077,California,Santa Clara
127193,New Mexico,New Mexico
124705,Arizona,Arizona
117720,New York,New York
165362,California,Alameda
139385,Arizona,Arizona
158087,Kentucky,Kentucky
122213,Nebraska,Nebraska
153708,Colorado,Colorado
133339,Nevada,Nevada
164956,Utah,Utah
126341,California,San Bernardino
124291,New York,New York
165783,California,San Diego
173826,Texas,San Antonio
144498,Ohio,Ohio
170462,California,San Bernardino
114479,Pennsylvania,Pennsylvania
150522,Connecticut,Connecticut
115619,Texas,Houston
120036,West Virginia,West Virginia
121504,Indiana,Indiana
144405,New Hampshire,New Hampshire
100075,Missouri,Missouri
135606,Minnesota,Minnesota
105926,Wisconsin,Wisconsin
114595,California,Riverside
175383,New Mexico,New Mexico
105822,Indiana,Indiana
111233,Florida,Miami
105061,California,Los Angeles
144054,California,San Bernardino
110626,Louisiana,Louisiana
150486,Illinois,Illinois
111183,Puerto Rico,Puerto Rico
143868,Pennsylvania,Pennsylvania
145082,California,Santa Clara
152120,California,Los Angeles
164406,Florida,Orlando
165753,Louisiana,Louisiana
152227,Puerto Rico,Puerto Rico
140810,Florida,Miami
162729,Maine,Maine
130302,Oklahoma,Oklahoma
146618,Nebraska,Nebraska
131121,Nevada,Nevada
168605,California,Alameda
128570,South Dakota,South Dakota
105116,New Jersey,New Jersey
177231,Virginia,Virginia
158317,California,San Diego
140088,Kentucky,Kentucky
140088,Oklahoma,Oklahoma
100355,Wisconsin,Wisconsin
165846,California,Los Angeles
165013,Alabama,Alabama
120209,Illinois,Illinois
122114,Arizona,Arizona
161785,Massachusetts,Massachusetts
154737,West Virginia,West Virginia
109487,Massachusetts,Massachusetts
144850,West Virginia,West Virginia
164849,South Carolina,South Carolina
159162,Tennessee,Tennessee
141953,Arkansas,Arkansas
179778,Louisiana,Louisiana
103516,Nebraska,Nebraska
170366,West Virginia,West Virginia
107489,Arkansas,Arkansas
130696,Minnesota,Minnesota
169161,Washington,Washington
111140,Colorado,Colorado
143373,New York,New York
171953,South Carolina,South Carolina
102777,Wisconsin,Wisconsin
161522,Louisiana,Louisiana
160240,Texas,San Antonio
144477,Idaho,Idaho
117644,Oklahoma,Oklahoma
156078,Washington,Washington
126810,Idaho,Idaho
163436,Texas,San Antonio
129218,Hawaii,Hawaii
117362,Colorado,Colorado
109111,Idaho,Idaho
132243,California,Alameda
105926,Ohio,Ohio
173377,Arizona,Arizona
113471,New York,New York
168913,California,San Bernardino
130337,Missouri,Missouri
130876,Ohio,Ohio
141119,Kentucky,Kentucky
129917,California,Riverside
109510,Ohio,Ohio
138208,California,Riverside
134641,California,San Bernardino
101931,Oregon,Oregon
137012,California,San Bernardino
116561,Hawaii,Hawaii
170569,New Hampshire,New Hampshire
162522,New Jersey,New Jersey
177231,California,San Diego
164956,California,Los Angeles
156453,Mississippi,Mississippi
175551,Idaho,Idaho
161634,Pennsylvania,Pennsylvania
167798,North Carolina,North Carolina
161201,California,Santa Clara
101931,New Jersey,New Jersey
145901,California,San Diego
112828,New York,New York
138120,Alabama,Alabama
101076,Colorado,Colorado
111518,Connecticut,Connecticut
154820,California,Riverside
100234,Oregon,Oregon
140357,California,Los Angeles
161780,New Hampshire,New Hampshire
143222,North Carolina,North Carolina
133726,Virginia,Virginia
176827,Iowa,Iowa
109730,California,Los Angeles
165392,Kansas,Kansas
130189,Utah,Utah
135052,Nebraska,Nebraska
173122,Kentucky,Kentucky
134977,West Virginia,West Virginia
101537,California,Los Angeles
175410,Kentucky,Kentucky
100086,Tennessee,Tennessee
162637,Alabama,Alabama
103669,Iowa,Iowa
138507,Louisiana,Louisiana
144235,California,Los Angeles
151422,Massachusetts,Massachusetts
122842,Washington,Washington
134637,Georgia,Georgia
100887,Idaho,Idaho
103295,Hawaii,Hawaii
164890,California,Santa Clara
154346,Florida,Orlando
133400,Missouri,Missouri
108461,Florida,Orlando
143801,Kentucky,Kentucky
103016,Virginia,Virginia
123337,New Hampshire,New Hampshire
109992,Kentucky,Kentucky
101537,Wisconsin,Wisconsin
141953,Illinois,Illinois
101738,New Mexico,New Mexico
160211,Minnesota,Minnesota
153787,Oregon,Oregon
133959,Michigan,Michigan
116807,Wisconsin,Wisconsin
162036,Georgia,Georgia
101675,Maryland,Maryland
133215,Alabama,Alabama
105592,Oregon,Oregon
133688,Delaware,Delaware
125304,Iowa,Iowa
168509,Mississippi,Mississippi
138681,Texas,Houston
132601,Kentucky,Kentucky
103940,Alabama,Alabama
160342,California,Orange
100410,Georgia,Georgia
106092,Florida,Orlando
117570,Rhode Island,Rhode Island
161051,Utah,Utah
140088,Rhode Island,Rhode Island
129192,Texas,Houston
176861,Maryland,Maryland
148708,Minnesota,Minnesota
146545,Pennsylvania,Pennsylvania
174773,Iowa,Iowa
178503,Maryland,Maryland
161168,Mississippi,Mississippi
144522,Connecticut,Connecticut
175551,California,Riverside
125304,Texas,Houston
148582,California,Orange
164931,Illinois,Illinois
113159,Connecticut,Connecticut
172168,Arkansas,Arkansas
129645,California,Orange
164397,Nevada,Nevada
147527,California,San Diego
168229,Virginia,Virginia
147421,Massachusetts,Massachusetts
113786,Maryland,Maryland
138507,California,San Diego
111321,Arkansas,Arkansas
174276,Texas,San Antonio
101974,New Jersey,New Jersey
173786,Michigan,Michigan
173226,Ohio,Ohio
119192,New Hampshire,New Hampshire
149500,New Mexico,New Mexico
106006,Utah,Utah
151160,California,Riverside
103058,Missouri,Missouri
135168,South Dakota,South Dakota
138372,California,Alameda
141204,Nevada,Nevada
179571,West Virginia,West Virginia
145205,California,Riverside
133688,Texas,San Antonio
136475,Arkansas,Arkansas
169092,Tennessee,Tennessee
145653,Nebraska,Nebraska
172889,Mississippi,Mississippi
167908,Maine,Maine
143004,Indiana,Indiana
174974,Nevada,Nevada
111091,Massachusetts,Massachusetts
179606,North Carolina,North Carolina
112861,Rhode Island,Rhode Island
101961,New Hampshire,New Hampshire
131240,Massachusetts,Massachusetts
133803,Texas,Houston
167401,South Carolina,South Carolina
153553,Virginia,Virginia
102708,Texas,Houston
127399,California,Alameda
138904,Pennsylvania,Pennsylvania
105455,Utah,Utah
152957,Kansas,Kansas
143222,California,Riverside
179269,New Hampshire,New Hampshire
138636,California,Santa Clara
138560,California,Santa Clara
126487,Wisconsin,Wisconsin
178888,Maine,Maine
124980,Oklahoma,Oklahoma
145290,California,Riverside
177711,New York,New York
144317,California,Riverside
167597,Louisiana,Louisiana
107942,Maryland,Maryland
132200,Utah,Utah
133688,Arkansas,Arkansas
171567,Puerto Rico,Puerto Rico
131397,Illinois,Illinois
119861,Rhode Island,Rhode Island
153898,South Carolina,South Carolina
135061,Texas,Houston
143207,Delaware,Delaware
141878,Oklahoma,Oklahoma
118509,Connecticut,Connecticut
122472,Nevada,Nevada
100442,Louisiana,Louisiana
168200,Missouri,Missouri
152957,Oregon,Oregon
153694,California,Los Angeles
154804,Georgia,Georgia
174378,New Mexico,New Mexico
127237,California,Los Angeles
162710,Colorado,Colorado
170967,Wisconsin,Wisconsin
156421,Massachusetts,Massachusetts
107812,New Jersey,New Jersey
153014,Arizona,Arizona
151422,California,Orange
116355,California,Alameda
145653,Indiana,Indiana
148477,New Jersey,New Jersey
121190,Massachusetts,Massachusetts
126756,Alabama,Alabama
117644,New Mexico,New Mexico
118776,Texas,San Antonio
150973,Texas,San Antonio
163906,Hawaii,Hawaii
136421,Texas,San Antonio
169243,Montana,Montana
135391,California,Santa Clara
151127,Kentucky,Kentucky
150095,Virginia,Virginia
167908,New Hampshire,New Hampshire
140234,Florida,Miami
148646,Illinois,Illinois
129631,Washington,Washington
178940,Georgia,Georgia
147261,Virginia,Virginia
175313,Idaho,Idaho
124634,Tennessee,Tennessee
166252,Washington,Washington
165561,California,San Bernardino
174110,Indiana,Indiana
109422,North Carolina,North Carolina
102566,Iowa,Iowa
109388,Nebraska,Nebraska
107249,Tennessee,Tennessee
175387,South Dakota,South Dakota
101675,Tennessee,Tennessee
120602,Florida,Miami
113327,Georgia,Georgia
178503,Nevada,Nevada
155817,Idaho,Idaho
123929,Iowa,Iowa
143478,New Jersey,New Jersey
132942,North Carolina,North Carolina
158798,California,Riverside
164687,Montana,Montana
165608,Tennessee,Tennessee
129180,Montana,Montana
122817,Illinois,Illinois
153045,California,Alameda
175551,Montana,Montana
161325,Indiana,Indiana
179926,Nebraska,Nebraska
140822,Wisconsin,Wisconsin
135321,Texas,San Antonio
138830,Wisconsin,Wisconsin
168428,Utah,Utah
102376,California,Santa Clara
171049,Michigan,Michigan
177927,New Mexico,New Mexico
170230,Kentucky,Kentucky
113187,Michigan,Michigan
165810,South Carolina,South Carolina
129917,California,San Diego
146533,California,Santa Clara
131750,Florida,Orlando
107760,Illinois,Illinois
174564,Colorado,Colorado
135987,South Carolina,South Carolina
145134,South Carolina,South Carolina
105523,Texas,Houston
120156,New Hampshire,New Hampshire
102777,Ohio,Ohio
120629,New Jersey,New Jersey
160766,Delaware,Delaware
127827,California,Los Angeles
142477,Minnesota,Minnesota
158519,Washington,Washington
165241,California,Orange
156981,Washington,Washington
139318,New Hampshire,New Hampshire
104426,Puerto Rico,Puerto Rico
160758,Arizona,Arizona
148761,Pennsylvania,Pennsylvania
152724,Nebraska,Nebraska
168906,Hawaii,Hawaii
157350,Montana,Montana
124980,Kansas,Kansas
178854,Illinois,Illinois
101931,Idaho,Idaho
154148,Arizona,Arizona
164917,California,Santa Clara
155158,Tennessee,Tennessee
149246,West Virginia,West Virginia
119836,North Carolina,North Carolina
168533,Louisiana,Louisiana
167790,New Mexico,New Mexico
103628,South Dakota,South Dakota
124900,California,Orange
154530,Pennsylvania,Pennsylvania
103521,Florida,Orlando
172921,New Hampshire,New Hampshire
172852,Kentucky,Kentucky
112648,Arizona,Arizona
143906,New York,New York
175247,Rhode Island,Rhode Island
106245,South Carolina,South Carolina
151598,South Dakota,South Dakota
149012,Florida,Miami
161325,Delaware,Delaware
179554,California,Alameda
156002,California,Riverside
103176,Pennsylvania,Pennsylvania
160284,Puerto Rico,Puerto Rico
145082,New Mexico,New Mexico
146148,Georgia,Georgia
145697,Missouri,Missouri
142428,Rhode Island,Rhode Island
125228,Maine,Maine
105425,New York,New York
144380,California,Alameda
105968,Kentucky,Kentucky
155332,California,Santa Clara
114595,Mississippi,Mississippi
178662,Texas,San Antonio
164956,Nebraska,Nebraska
111335,Maine,Maine
158950,Rhode Island,Rhode Island
136010,New Hampshire,New Hampshire
149724,South Carolina,South Carolina
117659,Connecticut,Connecticut
167265,California,Alameda
121803,Iowa,Iowa
108369,Missouri,Missouri
117021,New Jersey,New Jersey
106490,Arkansas,Arkansas
154413,West Virginia,West Virginia
159652,Maryland,Maryland
133398,Colorado,Colorado
150092,New York,New York
142428,Kentucky,Kentucky
112648,Delaware,Delaware
166469,New Hampshire,New Hampshire
161376,California,Santa Clara
110085,California,San Bernardino
125753,Maryland,Maryland
147351,New York,New York
100080,West Virginia,West Virginia
171714,Kentucky,Kentucky
142054,Arizona,Arizona
144317,Minnesota,Minnesota
110972,Virginia,Virginia
119926,Florida,Miami
179514,Connecticut,Connecticut
131214,Massachusetts,Massachusetts
152724,Maine,Maine
150046,South Dakota,South Dakota
154562,Illinois,Illinois
103940,Mississippi,Mississippi
155602,Delaware,Delaware
106644,Texas,San Antonio
161820,California,Alameda
163768,Hawaii,Hawaii
103337,Louisiana,Louisiana
120036,Maine,Maine
149142,Kentucky,Kentucky
116373,Iowa,Iowa
139775,Massachusetts,Massachusetts
143335,Kentucky,Kentucky
132397,California,Santa Clara
152834,Kansas,Kansas
177711,Utah,Utah
178711,Alabama,Alabama
103717,California,San Diego
179778,Maryland,Maryland
136063,Utah,Utah
151734,Maryland,Maryland
124334,Kentucky,Kentucky
109279,Oregon,Oregon
111121,Nevada,Nevada
119624,California,Santa Clara
118552,Wisconsin,Wisconsin
113782,West Virginia,West Virginia
140088,West Virginia,West Virginia
142422,Michigan,Michigan
107027,Washington,Washington
162336,Hawaii,Hawaii
176519,Utah,Utah
104819,Ohio,Ohio
141249,Texas,San Antonio
106985,Georgia,Georgia
100264,South Carolina,South Carolina
128435,Tennessee,Tennessee
172969,Louisiana,Louisiana
126752,North Carolina,North Carolina
100234,Massachusetts,Massachusetts
135070,Missouri,Missouri
105696,California,San Diego
145931,Idaho,Idaho
173533,Missouri,Missouri
126647,Louisiana,Louisiana
123350,South Carolina,South Carolina
143478,Texas,San Antonio
166740,Nebraska,Nebraska
121574,Montana,Montana
151835,Maryland,Maryland
106930,Nevada,Nevada
172457,Texas,Houston
116373,Kansas,Kansas
154737,Delaware,Delaware
131067,Wisconsin,Wisconsin
154413,Missouri,Missouri
103259,South Dakota,South Dakota
162729,Wisconsin,Wisconsin
142442,California,Alameda
162046,Florida,Miami
133215,Hawaii,Hawaii
148761,Nebraska,Nebraska
164397,Wisconsin,Wisconsin
131397,New Jersey,New Jersey
167265,South Carolina,South Carolina
120739,Illinois,Illinois
162637,Washington,Washington
128499,Iowa,Iowa
114986,Washington,Washington
120250,California,San Bernardino
117651,Texas,Houston
174251,Georgia,Georgia
126082,Alabama,Alabama
179125,Ohio,Ohio
169517,North Carolina,North Carolina
110637,Pennsylvania,Pennsylvania
120377,Kansas,Kansas
144288,Texas,Houston
111155,Oklahoma,Oklahoma
110070,Nevada,Nevada
155795,Missouri,Missouri
178013,Texas,San Antonio
124457,Maryland,Maryland
145322,Washington,Washington
105116,Delaware,Delaware
144743,Louisiana,Louisiana
147915,Massachusetts,Massachusetts
147449,New York,New York
174549,Texas,San Antonio
135070,Hawaii,Hawaii
135898,California,Orange
130531,Florida,Orlando
134637,Colorado,Colorado
122549,California,San Diego
109297,California,San Bernardino
150095,Missouri,Missouri
126986,Nebraska,Nebraska
140265,Rhode Island,Rhode Island
113281,South Carolina,South Carolina
157918,Arizona,Arizona
148175,Missouri,Missouri
178711,Washington,Washington
179987,Pennsylvania,Pennsylvania
161373,Montana,Montana
171049,Texas,San Antonio
165387,California,Orange
150605,California,Alameda
110070,Missouri,Missouri
146079,Maine,Maine
160964,Kansas,Kansas
122978,Virginia,Virginia
153006,Arkansas,Arkansas
144220,Florida,Miami
161662,New Hampshire,New Hampshire
167798,California,San Bernardino
121582,Kentucky,Kentucky
175584,Georgia,Georgia
107145,Montana,Montana
131495,Michigan,Michigan
105061,Maryland,Maryland
135862,New Mexico,New Mexico
148866,Georgia,Georgia
162036,Kentucky,Kentucky
133803,Alabama,Alabama
129133,New York,New York
143452,Alabama,Alabama
107694,Virginia,Virginia
168362,California,San Bernardino
167329,Oregon,Oregon
113055,Kansas,Kansas
121876,California,Alameda
162036,North Carolina,North Carolina
122114,California,Los Angeles
111729,California,Orange
112124,New Hampshire,New Hampshire
156597,Iowa,Iowa
145580,Minnesota,Minnesota
126487,Pennsylvania,Pennsylvania
161325,South Carolina,South Carolina
129150,West Virginia,West Virginia
174378,Nebraska,Nebraska
104018,Michigan,Michigan
107268,California,San Bernardino
133835,Montana,Montana
105968,Connecticut,Connecticut
179926,Pennsylvania,Pennsylvania
138211,Washington,Washington
146249,California,Los Angeles
144317,Georgia,Georgia
132238,Wisconsin,Wisconsin
159184,Utah,Utah
152395,Michigan,Michigan
153460,New Jersey,New Jersey
153494,Maine,Maine
111664,Connecticut,Connecticut
100382,Mississippi,Mississippi
159350,Pennsylvania,Pennsylvania
132728,Idaho,Idaho
178940,Utah,Utah
115858,New Jersey,New Jersey
110731,Montana,Montana
155795,Arizona,Arizona
160273,Georgia,Georgia
147267,Nebraska,Nebraska
129631,Rhode Island,Rhode Island
108461,Wisconsin,Wisconsin
178008,Florida,Orlando
124705,Maryland,Maryland
137840,Texas,San Antonio
132786,West Virginia,West Virginia
167869,Louisiana,Louisiana
100883,Alabama,Alabama
109720,Texas,Houston
172457,Texas,San Antonio
164048,California,Los Angeles
128549,Louisiana,Louisiana
173567,Iowa,Iowa
101604,Texas,Houston
167265,Oklahoma,Oklahoma
173561,Oklahoma,Oklahoma
176193,Wisconsin,Wisconsin
153898,California,San Diego
151438,California,Los Angeles
118732,California,Riverside
147692,Louisiana,Louisiana
145619,Connecticut,Connecticut
151740,Ohio,Ohio
150326,Alabama,Alabama
123284,Georgia,Georgia
137317,New Jersey,New Jersey
111351,Washington,Washington
112072,California,Los Angeles
156981,Massachusetts,Massachusetts
132728,Indiana,Indiana
102088,California,Alameda
108227,Illinois,Illinois
103669,Kentucky,Kentucky
171190,Florida,Miami
109297,Arkansas,Arkansas
115795,Nevada,Nevada
120009,Tennessee,Tennessee
116561,Oklahoma,Oklahoma
133803,California,Riverside
142696,South Dakota,South Dakota
147213,California,Santa Clara
161638,California,San Bernardino
126810,Iowa,Iowa
118320,South Dakota,South Dakota
135262,Texas,Houston
173716,California,Los Angeles
139839,Arizona,Arizona
136010,South Carolina,South Carolina
152148,Florida,Miami
167650,Ohio,Ohio
168913,Indiana,Indiana
125994,Virginia,Virginia
128730,Michigan,Michigan
126349,Kansas,Kansas
178274,Delaware,Delaware
154621,Georgia,Georgia
153408,Oklahoma,Oklahoma
120503,New Hampshire,New Hampshire
107432,California,Riverside
130696,Iowa,Iowa
105803,North Carolina,North Carolina
160474,California,Los Angeles
138704,New Mexico,New Mexico
127955,Tennessee,Tennessee
149034,Texas,San Antonio
114591,Georgia,Georgia
170788,New York,New York
107214,New Hampshire,New Hampshire
173938,California,Riverside
170569,California,Orange
161508,Indiana,Indiana
156418,Georgia,Georgia
101147,Virginia,Virginia
170549,Texas,San Antonio
117570,Florida,Miami
136611,Illinois,Illinois
167401,Puerto Rico,Puerto Rico
169610,Hawaii,Hawaii
173516,Pennsylvania,Pennsylvania
102142,California,Orange
173716,Kentucky,Kentucky
106930,New York,New York
123262,California,San Diego
103940,New Hampshire,New Hampshire
102536,Illinois,Illinois
153043,Georgia,Georgia
109705,Georgia,Georgia
162245,California,Los Angeles
167541,Florida,Miami
105383,Oklahoma,Oklahoma
164558,Maryland,Maryland
151150,South Carolina,South Carolina
149062,California,Alameda
167798,Florida,Orlando
117746,Arizona,Arizona
168062,Iowa,Iowa
117746,Massachusetts,Massachusetts
150158,Nebraska,Nebraska
172486,Alabama,Alabama
113327,Florida,Miami
105061,Tennessee,Tennessee
174125,Nevada,Nevada
179255,North Carolina,North Carolina
139662,Illinois,Illinois
167383,New Mexico,New Mexico
168428,Oregon,Oregon
144069,Indiana,Indiana
161785,California,San Bernardino
165608,Colorado,Colorado
119692,Illinois,Illinois
120202,California,Orange
163109,Pennsylvania,Pennsylvania
137670,Tennessee,Tennessee
135948,Illinois,Illinois
107037,Mississippi,Mississippi
130612,Puerto Rico,Puerto Rico
145677,Nevada,Nevada
154949,Pennsylvania,Pennsylvania
123886,Arkansas,Arkansas
106245,Puerto Rico,Puerto Rico
129240,Oregon,Oregon
129631,Nebraska,Nebraska
135898,Arizona,Arizona
124117,Arkansas,Arkansas
162729,Kansas,Kansas
117466,Alabama,Alabama
161201,Puerto Rico,Puerto Rico
131655,Nevada,Nevada
115858,Connecticut,Connecticut
119192,Illinois,Illinois
111925,Tennessee,Tennessee
147261,California,San Diego
162827,Iowa,Iowa
170569,Kansas,Kansas
123876,Oklahoma,Oklahoma
145908,Indiana,Indiana
120227,Puerto Rico,Puerto Rico
127214,Alabama,Alabama
